[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Analysis started at: 2023-07-10 07:32:39 AM
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Version constraints: ['^0.4.19']
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | solc version: v0.4.19
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Callgraph generation started!
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Callgraph generation finished!
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Interprocedural CFG generation started!
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Interprocedural CFG generation finished!
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Storage dependency graph generation started!
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Storage dependency graph generation finished!
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Value Range Analysis started
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Generating return summary for ETH_FUND
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Return summary generated for ETH_FUND
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Range graph generated
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Processed function ETH_FUND
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Generating return summary for fallback
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Return summary generated for fallback
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | State variable assignement do not exist
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Processed function fallback
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Range graph generated
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Processed function slitherConstructorVariables
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Generating return summary for AddMessage
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Return summary generated for AddMessage
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Range graph generated
[INFO] | 2023-07-10 07:32:39 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Processed function AddMessage
