[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for transfer
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for transfer
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function transfer
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for transferFrom
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for transferFrom
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function transferFrom
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for trim
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for trim
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function trim
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for getOwnersCount
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for getOwnersCount
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function getOwnersCount
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for getCurrentPeriod
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for getCurrentPeriod
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function getCurrentPeriod
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for addProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for addProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function addProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for delProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for delProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function delProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for getVoted
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for getVoted
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function getVoted
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function slitherConstructorVariables
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for constructor
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for constructor
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function constructor
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for acceptOwnership
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for acceptOwnership
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function acceptOwnership
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for safeSub
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for safeSub
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function safeSub
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for safeAdd
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for safeAdd
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function safeAdd
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for safeDiv
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for safeDiv
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function safeDiv
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for safeMul
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for safeMul
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function safeMul
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for safePerc
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for safePerc
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function safePerc
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for min
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for min
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function min
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for max
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for max
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function max
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for transfer
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for transfer
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function transfer
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for transferFrom
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for transferFrom
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function transferFrom
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function totalSupply
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function allowance
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function approve
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for trim
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for trim
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function trim
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for getOwnersCount
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for getOwnersCount
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function getOwnersCount
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for getCurrentPeriod
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for getCurrentPeriod
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function getCurrentPeriod
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for addProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for addProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function addProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for delProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for delProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function delProposal
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for getVoted
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for getVoted
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function getVoted
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for AddToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for AddToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function AddToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for DelToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for DelToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function DelToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for fallback
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for fallback
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function fallback
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for getMultiplier
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for getMultiplier
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function getMultiplier
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Range graph generated
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function slitherConstructorVariables
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for onlyOwner
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for onlyOwner
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function onlyOwner
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for transferOwnership
