[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for transfer
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for transfer
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function transfer
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for allowance
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for allowance
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function allowance
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for transferFrom
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for transferFrom
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function transferFrom
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for approve
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for approve
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function approve
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for transfer
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for transfer
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function transfer
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for transfer
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for transfer
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function transfer
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function totalSupply
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Return summary generated for balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Processed function balanceOf
[INFO] | 2023-07-07 09:00:27 AM | analyzer.0xf6dbe88ba55f1793ff0773c9b1275300f830914f | Generating return summary for allowance
