[INFO] | 2023-07-06 06:37:14 AM | analyzer.OwnerManager_11 | Analysis started at: 2023-07-06 06:37:14 AM
[INFO] | 2023-07-06 06:37:14 AM | analyzer.OwnerManager_11 | Version constraints: ['^0.5.0']
[INFO] | 2023-07-06 06:37:14 AM | analyzer.OwnerManager_11 | solc version: v0.5.0
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Callgraph generation started!
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Callgraph generation finished!
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Storage dependency graph generation started!
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Value Range Analysis started
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Range graph generated
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Generating return summary for setupOwners
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Return summary generated for setupOwners
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Range graph generated
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Processed function setupOwners
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Generating return summary for getThreshold
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Return summary generated for getThreshold
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | State variable assignement do not exist
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Processed function getThreshold
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Generating return summary for isOwner
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Return summary generated for isOwner
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | State variable assignement do not exist
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Processed function isOwner
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Generating return summary for getOwners
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Return summary generated for getOwners
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | State variable assignement do not exist
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Processed function getOwners
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Generating return summary for authorized
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Return summary generated for authorized
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | State variable assignement do not exist
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Processed function authorized
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Generating return summary for swapOwner
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Return summary generated for swapOwner
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Range graph generated
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Processed function swapOwner
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Generating return summary for changeThreshold
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Return summary generated for changeThreshold
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Range graph generated
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Processed function changeThreshold
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Generating return summary for addOwnerWithThreshold
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Return summary generated for addOwnerWithThreshold
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Range graph generated
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Processed function addOwnerWithThreshold
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Generating return summary for removeOwner
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Return summary generated for removeOwner
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Range graph generated
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Processed function removeOwner
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Value Range Analysis took 0.006810 seconds
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Value Range Analysis finished
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 06:37:15 AM | analyzer.OwnerManager_11 | Dependency detection started!
