[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function totalSupply
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function balanceOf
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for allowance
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for allowance
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function allowance
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for approve
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for approve
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function approve
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for transfer
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for transfer
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function transfer
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for transferFrom
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for transferFrom
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function transferFrom
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for btoi
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for btoi
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function btoi
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for badd
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for badd
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function badd
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for bsubSign
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for bsubSign
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function bsubSign
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for bmul
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for bmul
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function bmul
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for bdiv
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for bdiv
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function bdiv
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for totalSupply
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for totalSupply
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function totalSupply
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function balanceOf
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for allowance
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for allowance
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function allowance
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for approve
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for approve
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function approve
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for transfer
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for transfer
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function transfer
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for transferFrom
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for transferFrom
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function transferFrom
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function getColor
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for btoi
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for btoi
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function btoi
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for badd
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for badd
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function badd
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for bsubSign
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for bsubSign
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function bsubSign
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for bmul
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for bmul
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function bmul
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for bdiv
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for bdiv
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function bdiv
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for name
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for name
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function name
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for symbol
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for symbol
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function symbol
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for decimals
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for decimals
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function decimals
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for allowance
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for allowance
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function allowance
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Processed function balanceOf
[INFO] | 2023-07-06 05:51:53 AM | analyzer.BPool_1 | Generating return summary for totalSupply
